song,artist,type,guitar_1st,guitar_2nd,genre,unplugged,technique,energy,mastery,Context,PRO
Nothing But The Call*,Will Spicher,acoustic,baritone,gentle,instrumental,yes,fingerstyle,4,42,general,unknown
Oh come all ye faithful,Christmas,acoustic,strum,gentle,Christmas,yes,strum,5,50,Christmas,unknown
Oh Darling,Beatles,acoustic,baritone,variax,classic hits,yes,strum,7,42,general,unknown
Oh Holy Night,Christmas,acoustic,strum,gentle,Christmas,yes,strum,5,60,Christmas,unknown
Old Man,Neil Young,acoustic,baritone,variax,classic hits,yes,both,8,14,general,unknown
Operator,Jim Croce,acoustic,gentle,gentle,classic hits,yes,fingerstyle,4,50,general,unknown
Pinball Wizard,The Who,loop w FX,strum,strum,classic hits,yes,strum,9,35,general,unknown
Rain & Wind,Will Spicher,backtrack,T5,T5,original,no,pick,9,14,general,unknown
Rickover's Dream*,Michael Hedges,acoustic,gentle,gentle,instrumental,yes,fingerstyle,3,60,general,unknown
Rikki Don't Lose That Number,Steely Dan,acoustic,gentle,strum,classic hits,yes,fingerstyle,6,7,general,unknown
Sailing,Christopher Cross,acoustic,gentle,gentle,classic hits,yes,fingerstyle,3,28,general,unknown
Searchin' So Long,Chicago,loop w FX,strum,gentle,classic hits,no,both,7,42,general,unknown
Seeking Rivendell - Acoustic,Will Spicher,acoustic,twelve,strum,original,yes,strum,6,28,general,unknown
Seeking Rivendell - Electric,Will Spicher,backtrack,T5,T5,original,no,pick,8,28,general,unknown
Shilo ,Neil Diamond,acoustic,strum,gentle,classic hits,yes,strum,6,28,general,unknown
Show Me The Way,Peter Frampton,loop w FX,variax,variax,classic hits,no,strum,9,35,general,unknown
Silent Night,Christmas,acoustic,baritone,variax,Christmas,yes,fingerstyle,1,42,Christmas,unknown
Sister Golden Hair,America,acoustic,twelve,strum,classic hits,yes,strum,7,50,general,unknown
Solitary Man,Neil Diamond,acoustic,strum,gentle,classic hits,yes,strum,6,50,general,unknown
Something,Beatles,loop w FX,variax,variax,classic hits,no,strum,5,50,general,unknown
Still The One,Orleans,loop w FX,variax,variax,classic hits,no,strum,10,20,general,unknown
The Eyes of a Child,Will Spicher,backtrack,gentle,gentle,original,no,fingerstyle,4,42,general,unknown
The Mission*,Phil Keaggy,acoustic,baritone,gentle,instrumental,yes,fingerstyle,3,28,general,unknown
The Power Of Love,Huey Lewis,loop w FX,strum,gentle,classic hits,yes,strum,8,28,general,unknown
The Reunion*,Phil Keaggy,acoustic,gentle,gentle,instrumental,yes,fingerstyle,4,28,general,unknown
The Ride*,Will Spicher,backtrack,T5,T5,instrumental,no,pick,9,28,general,unknown
The Treasure,Frank Castanette,acoustic,gentle,gentle,christian,yes,fingerstyle,4,60,Christian,unknown
The Wind & The Wheat*,Phil Keaggy,loop w FX,variax,baritone,instrumental,yes,fingerstyle,2,28,general,unknown
There She Goes,The La's,loop w FX,strum,gentle,classic hits,yes,strum,7,35,general,unknown
Those Who Wait*,Tommy Emmanuel,acoustic,baritone,gentle,instrumental,yes,fingerstyle,3,28,general,unknown
Time After Time,Cindi Lauper,acoustic,gentle,gentle,classic hits,yes,fingerstyle,4,28,general,unknown
Time In A Bottle,Jim Croce,acoustic,gentle,gentle,classic hits,yes,fingerstyle,3,35,general,unknown
Tuesday Afternoon,Moody Blues,acoustic,gentle,gentle,classic hits,yes,strum,5,28,general,unknown
Twelve Days Of Christmas,Christmas,acoustic,strum,gentle,Christmas,yes,strum,7,60,Christmas,unknown
Two Of Us,Beatles,acoustic,strum,gentle,classic hits,yes,strum,6,28,general,unknown
Under The Sun*,Will Spicher,acoustic,baritone,gentle,instrumental,yes,fingerstyle,3,35,general,unknown
Ventura Highway,America,acoustic,strum,gentle,classic hits,yes,strum,7,7,general,unknown
What I Like About You,Romantics,loop w FX,strum,gentle,classic hits,no,strum,10,28,general,unknown
When My Love Awakened,Will Spicher,acoustic,strum,gentle,original,yes,strum,7,50,general,unknown
When Night Falls*,Phil Keaggy,acoustic,baritone,gentle,instrumental,yes,fingerstyle,1,35,general,unknown
White Christmas*,Blaine Vanderschuit,acoustic,baritone,gentle,instrumental,yes,fingerstyle,1,42,Christmas,unknown
Wild World,Cat Stevens,acoustic,strum,gentle,classic hits,yes,strum,6,50,general,unknown
Yesterday,Beatles,acoustic,baritone,variax,classic hits,yes,fingerstyle,3,50,general,unknown
You've Got A Friend,James Taylor,acoustic,gentle,gentle,classic hits,yes,fingerstyle,3,28,general,unknown
